"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000173011",464,452,547,284,480,555,476,441
"ENSG00000173013",29,27,32,18,22,28,28,21
"ENSG00000173020",758,749,755,439,753,957,596,772
"ENSG00000173039",1409,1365,1443,989,1480,2099,1159,1427
"ENSG00000173040",429,483,464,334,493,626,385,537
"ENSG00000173041",95,80,103,60,95,91,66,84
"ENSG00000173064",1403,1079,1662,729,1682,1659,1259,1388
"ENSG00000173065",313,395,349,265,404,553,237,347
"ENSG00000173068",3964,1852,4441,1336,3593,2598,3473,1860
"ENSG00000173077",6,1,2,1,1,2,2,0
"ENSG00000173080",0,0,0,0,0,0,1,0
"ENSG00000173083",25,38,51,73,12,48,31,95
"ENSG00000173085",131,219,154,121,145,222,99,118
"ENSG00000173088",7,2,5,3,3,5,12,6
"ENSG00000173110",20,3,25,3,22,5,31,3
"ENSG00000173113",1052,1101,1199,603,1030,1419,726,866
"ENSG00000173114",108,26,78,33,123,50,48,40
"ENSG00000173120",2768,2182,2760,1512,2828,3515,2258,2121
"ENSG00000173124",0,1,0,0,0,0,0,0
"ENSG00000173137",103,118,133,67,128,138,112,124
"ENSG00000173141",313,272,365,169,410,408,241,251
"ENSG00000173145",299,273,376,240,457,659,328,313
"ENSG00000173153",314,378,264,153,290,334,230,260
"ENSG00000173156",283,319,333,174,208,304,256,300
"ENSG00000173163",414,353,398,222,361,451,314,276
"ENSG00000173166",243,150,480,169,221,433,236,327
"ENSG00000173171",558,493,629,352,605,700,520,584
"ENSG00000173175",42,23,64,43,31,33,35,56
"ENSG00000173193",1620,1143,1669,915,1755,1862,1385,1301
"ENSG00000173198",0,2,4,6,1,3,3,9
"ENSG00000173200",15,18,24,10,18,13,14,14
"ENSG00000173207",253,186,269,123,197,202,201,160
"ENSG00000173208",2,1,2,1,0,0,0,1
"ENSG00000173209",1145,1230,1509,942,1423,1746,1090,1169
"ENSG00000173210",2188,2128,2717,1228,3509,2605,1381,1346
"ENSG00000173212",1,2,4,2,0,4,1,4
"ENSG00000173213",2,0,0,0,1,0,0,0
"ENSG00000173214",62,66,76,35,83,95,64,61
"ENSG00000173218",795,711,834,473,724,920,628,699
"ENSG00000173221",1145,2262,1768,1955,1787,3723,1074,2325
"ENSG00000173226",231,192,342,172,247,332,158,152
"ENSG00000173227",4,3,3,1,3,4,2,0
"ENSG00000173230",4430,3321,6345,3109,6133,6737,4638,4554
"ENSG00000173231",2,1,1,1,6,0,2,2
"ENSG00000173239",0,1,0,0,0,0,0,0
"ENSG00000173253",0,0,0,0,0,2,2,1
"ENSG00000173258",23,8,37,11,19,31,37,19
"ENSG00000173261",2,1,3,0,2,1,1,0
"ENSG00000173262",74,51,67,35,92,165,52,52
"ENSG00000173264",606,625,664,402,695,838,528,642
"ENSG00000173267",4,3,29,12,28,23,32,22
"ENSG00000173269",11,6,19,8,20,11,26,15
"ENSG00000173272",556,519,553,266,468,692,518,482
"ENSG00000173273",1787,1324,2301,1271,2322,2576,1640,1757
"ENSG00000173275",304,247,416,239,447,491,377,332
"ENSG00000173276",226,279,228,179,380,503,217,325
"ENSG00000173281",731,626,656,511,708,1387,694,857
"ENSG00000173295",46,30,80,21,44,64,57,41
"ENSG00000173320",81,26,191,47,62,65,139,59
"ENSG00000173327",557,530,540,359,605,887,434,557
"ENSG00000173334",153,113,124,74,301,337,143,109
"ENSG00000173338",1,0,0,1,4,1,4,1
"ENSG00000173376",176,90,30,15,116,83,118,71
"ENSG00000173389",0,0,0,0,0,0,0,1
"ENSG00000173391",19,26,138,51,43,133,40,41
"ENSG00000173401",7,7,9,5,12,11,14,5
"ENSG00000173402",2395,2268,3761,2504,2398,4016,2359,3261
"ENSG00000173406",6,2,56,19,9,14,118,35
"ENSG00000173409",237,185,248,200,302,311,179,183
"ENSG00000173418",578,648,637,598,611,930,502,701
"ENSG00000173421",19,12,38,11,106,77,47,17
"ENSG00000173432",1,2,0,8,0,10,0,1
"ENSG00000173436",143,130,152,113,128,132,101,123
"ENSG00000173442",1186,951,1573,895,1220,1971,1205,1115
"ENSG00000173451",111,74,122,67,143,132,116,95
"ENSG00000173452",1,2,1,0,1,0,0,0
"ENSG00000173456",685,686,830,519,664,1060,569,752
"ENSG00000173457",962,764,916,355,855,1068,739,629
"ENSG00000173465",191,191,233,87,223,263,176,193
"ENSG00000173473",1778,1248,1573,888,2031,2010,1527,1294
"ENSG00000173480",217,151,288,122,315,366,221,208
"ENSG00000173482",2471,2391,3498,2529,3304,4487,2504,4113
"ENSG00000173486",613,605,682,352,643,907,437,508
"ENSG00000173511",1712,1577,2203,1184,1846,2386,1616,1745
"ENSG00000173517",5046,9151,6905,6557,5687,13216,5274,12411
"ENSG00000173530",1558,1153,1600,992,2369,2660,1342,1428
"ENSG00000173531",216,244,258,125,274,291,225,238
"ENSG00000173535",131,51,137,22,299,275,121,98
"ENSG00000173540",3,3,0,0,0,2,0,0
"ENSG00000173542",824,722,874,633,1020,1260,770,760
"ENSG00000173545",425,499,545,358,570,865,428,559
"ENSG00000173546",1175,581,1405,573,1016,704,1127,991
"ENSG00000173548",2520,2578,2703,1955,2762,3708,2125,3356
"ENSG00000173559",1980,2143,3801,2592,3953,4534,1577,3234
"ENSG00000173566",215,151,257,113,196,383,148,161
"ENSG00000173567",34,12,32,7,15,25,33,18
"ENSG00000173575",3031,2540,3136,1791,3158,3811,2669,3054
"ENSG00000173578",2,0,4,0,5,1,3,2
"ENSG00000173581",241,222,322,142,260,300,256,209
"ENSG00000173588",182,164,234,121,229,305,174,177
"ENSG00000173597",7,4,7,7,0,1,5,3
"ENSG00000173598",2224,2509,2196,2949,2806,3186,2346,5650
"ENSG00000173599",650,1104,656,322,646,847,325,573
"ENSG00000173611",618,452,760,294,828,649,634,384
"ENSG00000173614",332,217,342,208,348,372,276,244
"ENSG00000173621",174,337,113,77,192,273,126,149
"ENSG00000173626",6,1,3,2,2,4,2,2
"ENSG00000173638",111,85,89,60,135,217,72,88
"ENSG00000173641",283,238,1068,931,265,711,471,692
"ENSG00000173653",142,132,145,84,149,188,103,105
"ENSG00000173660",1480,1398,1524,855,1626,1943,1001,898
"ENSG00000173662",4,7,9,4,8,3,2,3
"ENSG00000173674",1455,1565,1494,1176,1517,2165,1914,2277
"ENSG00000173678",54,30,109,41,35,71,99,63
"ENSG00000173681",346,271,402,248,390,461,299,302
"ENSG00000173692",2338,2290,2966,1899,2954,3653,2164,2068
"ENSG00000173698",4,16,10,7,15,14,19,17
"ENSG00000173702",1,1,0,0,1,0,0,1
"ENSG00000173705",55,50,72,76,126,224,39,79
"ENSG00000173706",8378,10997,15135,11103,8632,21332,7697,15245
"ENSG00000173714",8,1,7,2,1,9,4,7
"ENSG00000173715",61,44,86,62,93,153,30,20
"ENSG00000173726",2669,2577,3273,2341,2854,3969,2793,3093
"ENSG00000173727",48,27,28,20,28,34,20,23
"ENSG00000173728",0,1,0,1,3,1,0,1
"ENSG00000173744",1492,1521,1707,1332,2085,3333,1227,1994
"ENSG00000173757",1332,1708,1550,1141,1527,2800,1233,1762
"ENSG00000173762",6,15,8,7,7,10,5,19
"ENSG00000173786",2640,2514,2280,1616,2794,3424,1975,2168
"ENSG00000173801",193,169,241,195,282,260,238,379
"ENSG00000173805",1,3,2,0,0,0,0,0
"ENSG00000173809",6,3,9,1,10,6,2,5
"ENSG00000173811",1,5,0,6,6,4,1,8
"ENSG00000173812",5979,5836,7032,5144,6824,7306,5950,6792
"ENSG00000173818",476,403,510,303,431,486,383,370
"ENSG00000173821",6128,5234,6369,3497,6754,9716,5051,6524
"ENSG00000173825",1,4,3,1,2,1,1,1
"ENSG00000173826",1,0,0,0,0,0,0,0
"ENSG00000173838",7,68,6,81,10,149,3,49
"ENSG00000173846",254,154,234,100,224,249,221,188
"ENSG00000173848",422,377,514,332,528,574,379,457
"ENSG00000173852",1507,1131,1984,1010,1794,1990,1353,1146
"ENSG00000173862",0,1,1,0,1,1,0,1
"ENSG00000173867",0,0,1,0,1,1,3,1
"ENSG00000173868",0,0,0,0,2,1,0,0
"ENSG00000173875",348,332,485,360,497,601,382,527
"ENSG00000173876",1,0,0,0,1,1,0,0
"ENSG00000173889",1351,1173,1569,840,1511,2015,1165,1333
"ENSG00000173890",20,20,23,13,43,86,12,19
"ENSG00000173894",55,48,54,21,30,35,26,22
"ENSG00000173898",24,9,25,12,30,28,28,9
"ENSG00000173905",2648,1756,3006,1491,3451,3551,2868,2355
"ENSG00000173914",523,351,546,231,593,511,431,319
"ENSG00000173915",620,656,591,451,571,909,468,630
"ENSG00000173917",168,198,185,124,176,240,172,190
"ENSG00000173918",452,947,563,876,995,2547,555,1313
"ENSG00000173926",52,44,71,26,91,96,31,37
"ENSG00000173928",16,22,20,10,16,11,14,13
"ENSG00000173930",1,0,0,0,0,0,0,0
"ENSG00000173933",51,37,65,24,78,79,38,32
"ENSG00000173947",153,41,106,25,94,65,110,53
"ENSG00000173950",495,409,512,229,483,601,431,365
"ENSG00000173960",503,596,617,493,783,944,615,764
"ENSG00000173966",2,1,0,0,0,0,0,0
"ENSG00000173976",0,0,0,0,0,1,0,0
"ENSG00000173988",3,6,1,1,1,0,4,2
"ENSG00000173991",8,8,5,5,8,7,5,11
"ENSG00000173992",635,542,660,293,701,680,561,460
"ENSG00000174004",10,4,8,4,5,7,8,7
"ENSG00000174007",95,94,102,74,113,108,90,90
"ENSG00000174010",253,222,275,183,305,296,227,229
"ENSG00000174013",150,155,200,110,201,211,153,167
"ENSG00000174021",814,804,1213,923,1303,1875,973,1348
"ENSG00000174028",234,229,509,376,417,703,371,538
"ENSG00000174032",300,214,310,157,407,452,223,255
"ENSG00000174038",1,2,1,1,0,3,1,0
"ENSG00000174059",46,46,172,89,79,26,95,172
"ENSG00000174080",1774,1587,2640,1714,2535,2909,1679,2038
"ENSG00000174093",881,697,939,425,879,785,786,784
"ENSG00000174099",2044,3086,3162,2617,2562,5956,2227,3552
"ENSG00000174100",679,590,776,478,784,808,542,646
"ENSG00000174106",582,529,575,401,612,885,468,578
"ENSG00000174109",59,80,97,43,78,109,46,63
"ENSG00000174111",81,71,78,35,88,112,66,94
"ENSG00000174125",76,66,122,80,81,114,44,40
"ENSG00000174130",59,47,63,16,71,68,28,16
"ENSG00000174132",112,149,179,139,168,250,103,165
"ENSG00000174136",4050,1912,4685,1293,4598,3107,2872,1339
"ENSG00000174137",23,44,35,23,23,43,30,47
"ENSG00000174151",432,424,523,371,427,574,422,537
"ENSG00000174165",234,190,273,152,246,390,226,230
"ENSG00000174171",13,33,27,17,12,35,26,38
"ENSG00000174173",211,221,236,181,251,333,213,202
"ENSG00000174177",178,190,208,85,196,291,155,165
"ENSG00000174194",220,200,278,146,259,280,232,187
"ENSG00000174196",834,871,1374,945,1287,1334,1000,973
"ENSG00000174197",848,743,728,490,859,1056,773,777
"ENSG00000174206",66,42,94,39,69,101,81,80
"ENSG00000174225",3,1,2,2,1,3,0,1
"ENSG00000174227",1116,951,1210,722,1188,1573,924,1008
"ENSG00000174231",7901,7320,8640,4873,9177,12035,6392,7569
"ENSG00000174233",1534,1279,2017,1140,2051,2550,1473,1833
"ENSG00000174236",1,1,0,1,3,0,0,0
"ENSG00000174238",1262,1596,1674,1234,1861,2604,1287,1749
"ENSG00000174243",1610,1575,1799,1001,1816,2331,1292,1242
"ENSG00000174276",47,50,56,39,64,73,59,62
"ENSG00000174282",4037,3430,4956,2545,4792,5383,3786,3913
"ENSG00000174292",82,56,188,131,58,96,68,87
"ENSG00000174306",1997,3552,2437,3051,2275,5499,1954,5063
"ENSG00000174307",2549,2011,2233,968,1883,2311,2199,1864
"ENSG00000174325",16,18,23,9,33,20,25,6
"ENSG00000174326",3,7,16,9,13,29,8,14
"ENSG00000174327",36,15,44,18,41,40,46,25
"ENSG00000174332",88,176,69,22,237,291,84,67
"ENSG00000174343",0,0,1,0,0,0,0,0
"ENSG00000174348",10112,7371,14130,5457,10717,8620,8994,8077
"ENSG00000174353",255,224,379,167,335,415,261,202
"ENSG00000174358",0,0,0,0,2,0,0,0
"ENSG00000174365",165,211,171,108,157,169,146,154
"ENSG00000174368",62,60,74,44,100,105,49,53
"ENSG00000174370",80,41,87,37,62,52,81,38
"ENSG00000174371",22,7,18,12,12,12,9,21
"ENSG00000174373",643,525,699,460,705,906,545,720
"ENSG00000174374",866,856,964,617,949,1187,792,838
"ENSG00000174384",4,9,8,11,12,7,10,6
"ENSG00000174405",339,322,334,236,465,500,272,322
"ENSG00000174407",0,1,0,0,0,0,0,0
"ENSG00000174417",0,0,1,0,0,2,0,0
"ENSG00000174428",1007,856,1335,754,1308,1671,926,1041
"ENSG00000174429",0,0,0,0,0,5,0,1
"ENSG00000174437",6445,11367,7423,9891,6560,30952,4875,11004
"ENSG00000174442",210,210,279,173,204,217,227,257
"ENSG00000174444",35302,33937,37772,18768,35559,37144,24946,24165
"ENSG00000174446",203,183,244,106,268,332,147,169
"ENSG00000174448",5,4,10,2,4,7,6,3
"ENSG00000174453",1,1,0,0,1,3,0,6
"ENSG00000174456",85,101,97,92,93,138,83,123
"ENSG00000174469",1,0,0,0,2,2,0,4
"ENSG00000174473",8,3,2,0,1,0,1,0
"ENSG00000174482",0,0,0,0,0,0,0,4
"ENSG00000174483",12,9,19,9,17,15,10,8
"ENSG00000174485",911,831,1172,765,1398,1188,934,1100
"ENSG00000174498",0,0,2,0,0,0,3,0
"ENSG00000174500",3,0,3,2,5,7,0,1
"ENSG00000174501",275,127,320,73,342,257,230,249
"ENSG00000174502",0,0,0,0,1,0,0,0
"ENSG00000174514",22,9,29,7,12,12,17,13
"ENSG00000174516",236,198,245,133,269,290,226,234
"ENSG00000174521",1,4,0,1,0,0,0,0
"ENSG00000174527",6,11,11,3,12,29,11,5
"ENSG00000174529",17,14,23,17,31,27,23,12
"ENSG00000174547",523,475,546,289,466,615,456,440
"ENSG00000174564",45,30,75,28,66,37,56,34
"ENSG00000174567",1,0,1,0,0,0,1,0
"ENSG00000174574",698,804,988,701,1189,1630,635,861
"ENSG00000174576",0,4,2,5,1,7,1,6
"ENSG00000174579",347,278,374,230,381,445,295,330
"ENSG00000174586",40,30,27,26,22,45,25,38
"ENSG00000174595",2,0,4,0,0,1,11,1
"ENSG00000174599",84,59,113,41,96,115,54,43
"ENSG00000174600",1,0,1,0,3,3,1,0
"ENSG00000174606",533,498,607,341,530,708,487,476
"ENSG00000174607",1,2,0,0,0,3,1,0
"ENSG00000174611",0,1,2,0,1,0,4,0
"ENSG00000174628",203,198,286,235,302,302,197,363
"ENSG00000174640",0,1,1,0,2,2,0,0
"ENSG00000174652",506,337,946,495,679,572,725,656
"ENSG00000174669",22,6,33,7,20,16,31,24
"ENSG00000174672",6,4,11,2,10,10,4,2
"ENSG00000174680",3,19,2,17,6,20,2,40
"ENSG00000174684",808,737,893,622,803,902,796,897
"ENSG00000174695",2039,2035,2352,1627,2260,3734,1573,2258
"ENSG00000174697",20,62,44,193,31,566,7,71
"ENSG00000174705",3643,5541,2755,2515,3788,4587,2771,5496
"ENSG00000174715",0,0,1,1,0,0,0,0
"ENSG00000174718",405,285,514,270,503,501,456,414
"ENSG00000174720",713,658,841,457,928,1033,681,651
"ENSG00000174721",17,7,15,6,10,6,19,7
"ENSG00000174738",1670,680,1349,753,1522,955,1211,924
"ENSG00000174740",110,92,115,76,116,141,98,125
"ENSG00000174744",466,557,513,310,589,781,387,512
"ENSG00000174748",21031,18802,23582,11985,22240,24800,16657,17068
"ENSG00000174749",84,100,73,79,77,94,71,94
"ENSG00000174775",355,454,407,295,329,458,304,393
"ENSG00000174780",2298,1717,2561,1304,2780,2907,2141,1839
"ENSG00000174788",0,0,0,1,0,0,2,1
"ENSG00000174791",291,181,264,78,236,225,222,163
"ENSG00000174792",0,0,0,0,0,0,1,2
"ENSG00000174796",250,199,364,169,298,371,234,242
"ENSG00000174799",203,117,182,83,329,331,171,153
"ENSG00000174804",845,1167,1082,1317,872,1575,1189,2106
"ENSG00000174807",18163,15068,20232,5830,16045,9241,14031,7172
"ENSG00000174808",17,27,35,72,14,49,50,96
"ENSG00000174827",20,14,26,10,40,30,38,14
"ENSG00000174837",2,2,3,1,2,1,1,0
"ENSG00000174839",251,272,232,312,203,325,203,326
"ENSG00000174840",465,471,459,350,475,711,366,424
"ENSG00000174842",141,133,132,102,161,182,114,89
"ENSG00000174844",1,1,4,2,5,3,6,5
"ENSG00000174851",789,756,809,443,876,1248,653,610
"ENSG00000174871",4,0,3,2,6,8,4,2
"ENSG00000174876",10,12,7,11,2,11,4,15
"ENSG00000174885",0,1,1,0,1,1,0,0
"ENSG00000174886",224,189,216,164,151,230,179,219
"ENSG00000174891",345,270,370,204,579,544,321,282
"ENSG00000174898",2,0,1,0,0,1,0,0
"ENSG00000174899",271,441,238,220,178,302,203,397
"ENSG00000174903",1121,855,1173,652,1187,1525,813,852
"ENSG00000174912",49,26,49,20,50,68,45,27
"ENSG00000174915",810,682,720,448,871,1035,577,591
"ENSG00000174917",522,505,492,268,479,708,311,422
"ENSG00000174928",31,25,68,60,58,58,47,52
"ENSG00000174938",413,365,555,370,952,1096,529,599
"ENSG00000174939",48,57,71,47,98,160,51,61
"ENSG00000174943",143,131,164,93,190,232,132,119
"ENSG00000174944",15,35,11,24,8,42,11,22
"ENSG00000174945",7,2,8,2,9,2,11,10
"ENSG00000174951",1,0,0,0,0,2,0,0
"ENSG00000174953",1062,947,1213,788,1302,1729,1051,1016
"ENSG00000174977",434,370,462,280,636,575,457,416
"ENSG00000174989",475,364,560,286,728,985,566,463
"ENSG00000174992",0,0,1,0,2,0,0,0
"ENSG00000174996",355,444,404,267,488,638,289,383
"ENSG00000175003",7,7,3,3,3,5,4,6
"ENSG00000175018",0,0,0,0,1,0,0,0
"ENSG00000175029",1399,1177,1448,900,1597,1934,1216,1517
"ENSG00000175040",367,201,322,160,309,551,359,251
"ENSG00000175048",285,185,229,90,325,234,259,185
"ENSG00000175054",533,453,608,337,729,895,475,460
"ENSG00000175061",8789,8320,6658,3578,5758,6699,4529,4414
"ENSG00000175063",20,23,11,8,10,9,7,15
"ENSG00000175066",374,419,391,417,502,940,537,770
"ENSG00000175073",648,665,769,555,782,1067,557,693
"ENSG00000175077",0,0,1,0,0,0,2,0
"ENSG00000175084",67,58,114,112,69,137,103,131
"ENSG00000175087",87,58,81,41,61,66,73,60
"ENSG00000175104",278,256,305,172,327,396,235,288
"ENSG00000175105",432,384,514,329,490,675,393,461
"ENSG00000175106",162,115,165,104,171,199,143,133
"ENSG00000175110",378,358,434,233,512,567,324,366
"ENSG00000175115",2201,1786,2587,1518,2738,3109,2015,2083
"ENSG00000175130",995,373,747,235,1187,592,734,341
"ENSG00000175137",732,624,734,437,743,1091,560,636
"ENSG00000175147",1,1,3,0,1,1,8,3
"ENSG00000175155",537,514,670,491,575,560,510,678
"ENSG00000175161",3,0,2,5,3,5,2,2
"ENSG00000175166",4782,3906,4955,2878,4865,5721,3679,3480
"ENSG00000175170",2,2,14,2,5,15,5,4
"ENSG00000175175",4,2,0,1,2,2,2,4
"ENSG00000175182",269,316,264,170,243,371,237,293
"ENSG00000175183",276,194,681,293,347,875,433,309
"ENSG00000175189",1,0,2,3,0,3,1,4
"ENSG00000175193",472,400,491,350,499,650,432,447
"ENSG00000175197",581,280,670,153,578,457,656,251
"ENSG00000175198",339,309,330,198,381,379,254,274
"ENSG00000175203",2841,2759,3368,2009,3659,4171,2332,2927
"ENSG00000175206",2,2,1,1,1,0,1,2
"ENSG00000175213",196,163,237,110,219,207,220,172
"ENSG00000175215",7874,6602,8441,5006,8572,10270,6696,7687
"ENSG00000175216",3224,2472,3567,1904,3803,3775,2688,2873
"ENSG00000175220",4989,5238,5176,3636,4662,6095,3955,5389
"ENSG00000175221",981,956,912,475,1028,1183,721,713
"ENSG00000175224",1598,1609,1959,1407,2117,2406,1523,2200
"ENSG00000175229",0,0,1,0,0,2,0,1
"ENSG00000175262",0,0,4,1,0,0,1,0
"ENSG00000175264",0,0,0,0,1,0,2,0
"ENSG00000175265",2649,2367,2168,1194,2191,2703,2497,2270
"ENSG00000175267",5,3,12,4,10,15,10,4
"ENSG00000175274",5078,5213,5023,2948,4512,6404,2710,4006
"ENSG00000175279",44,51,61,30,49,59,45,46
"ENSG00000175283",400,425,445,294,472,646,416,396
"ENSG00000175287",410,343,474,288,399,448,323,378
"ENSG00000175294",0,1,0,0,0,5,1,0
"ENSG00000175302",2,0,2,1,1,1,0,0
"ENSG00000175305",14,15,11,14,17,20,14,12
"ENSG00000175309",654,546,866,370,747,896,522,574
"ENSG00000175315",3,0,0,1,3,6,1,0
"ENSG00000175318",3,2,7,2,4,2,3,3
"ENSG00000175322",28,17,39,10,34,23,39,32
"ENSG00000175324",170,207,172,167,233,381,148,212
"ENSG00000175325",0,0,0,0,1,0,0,0
"ENSG00000175334",1179,960,1184,598,1135,1370,959,809
"ENSG00000175336",1,0,0,0,1,1,0,0
"ENSG00000175344",32,30,43,32,0,2,9,3
"ENSG00000175348",1070,1119,1477,1086,1231,1909,1014,1430
"ENSG00000175352",114,116,211,170,148,175,142,173
"ENSG00000175354",273,242,348,167,372,477,252,260
"ENSG00000175356",49,64,123,115,60,86,82,142
"ENSG00000175376",262,249,367,189,365,422,236,277
"ENSG00000175387",1389,1255,1784,1099,1733,2054,1288,1307
"ENSG00000175390",4764,4800,6238,3202,6567,7160,4147,4700
"ENSG00000175393",1,0,0,0,0,1,0,1
"ENSG00000175395",329,322,440,268,581,571,335,395
"ENSG00000175414",750,430,617,279,689,1036,578,482
"ENSG00000175416",718,865,1069,739,891,1220,758,1077
"ENSG00000175426",18,21,5,6,18,28,15,14
"ENSG00000175445",2,4,0,0,58,84,1,9
"ENSG00000175449",14,9,22,6,19,28,7,14
"ENSG00000175455",1646,1193,2742,1148,2455,2328,2261,1903
"ENSG00000175463",19,14,36,15,27,26,23,16
"ENSG00000175467",1220,1048,1124,633,1207,1519,934,882
"ENSG00000175470",463,504,554,351,654,713,433,494
"ENSG00000175471",82,152,26,98,85,295,102,429
"ENSG00000175482",93,169,133,109,117,206,92,150
"ENSG00000175485",0,0,1,0,0,0,0,0
"ENSG00000175489",6,0,26,2,27,1,15,3
"ENSG00000175505",116,98,136,72,190,192,113,108
"ENSG00000175513",15,5,11,7,18,3,11,6
"ENSG00000175518",12,10,11,9,14,16,6,8
"ENSG00000175536",6,3,10,6,10,8,7,11
"ENSG00000175538",156,77,213,51,146,64,115,48
"ENSG00000175548",70,53,76,39,74,85,61,60
"ENSG00000175550",1427,1165,1600,743,1780,1718,1253,1007
"ENSG00000175556",3,5,2,1,0,5,3,2
"ENSG00000175564",11,14,9,10,13,12,7,11
"ENSG00000175567",40,18,73,39,44,99,35,26
"ENSG00000175573",1238,1028,1287,617,1242,1406,1062,1023
"ENSG00000175575",297,230,350,214,341,366,289,260
"ENSG00000175581",200,156,266,112,221,221,175,137
"ENSG00000175582",2170,2119,2547,1865,2572,3254,2014,2403
"ENSG00000175591",0,0,0,1,3,4,2,0
"ENSG00000175592",313,188,349,105,356,547,386,204
"ENSG00000175595",280,255,316,198,388,378,297,280
"ENSG00000175600",232,301,233,203,284,388,143,186
"ENSG00000175602",977,642,816,357,583,867,1035,593
"ENSG00000175604",0,0,0,3,0,0,1,0
"ENSG00000175606",319,345,296,249,327,369,256,357
"ENSG00000175611",71,65,108,39,85,97,39,33
"ENSG00000175634",367,338,441,243,393,473,330,329
"ENSG00000175643",101,45,99,76,84,63,111,89
"ENSG00000175658",0,1,0,0,0,1,0,1
"ENSG00000175662",1503,1280,1806,1172,1582,1894,1151,1412
"ENSG00000175664",8,2,1,1,1,4,0,6
"ENSG00000175676",8,1,3,1,4,2,1,2
"ENSG00000175691",44,33,72,26,58,55,24,44
"ENSG00000175697",9,3,6,1,14,24,4,3
"ENSG00000175699",0,0,0,0,1,0,0,0
"ENSG00000175701",167,129,181,83,117,206,119,112
"ENSG00000175707",0,0,0,0,0,1,0,0
"ENSG00000175711",70,60,75,38,74,97,61,50
"ENSG00000175727",1792,1723,2723,1761,1662,3454,2248,2815
"ENSG00000175728",1,4,4,2,1,1,2,2
"ENSG00000175730",49,43,44,34,48,56,41,32
"ENSG00000175741",112,271,195,193,154,355,134,345
"ENSG00000175745",4502,3325,3659,1476,5649,4394,3345,2395
"ENSG00000175749",1,0,0,0,1,0,1,2
"ENSG00000175756",692,705,718,378,735,1094,575,612
"ENSG00000175764",143,119,156,56,121,102,127,103
"ENSG00000175768",8,19,22,11,32,38,18,14
"ENSG00000175772",27,26,39,24,74,119,28,30
"ENSG00000175773",3,1,3,0,3,3,1,3
"ENSG00000175782",404,375,429,367,470,660,396,523
"ENSG00000175785",3,1,1,0,0,0,0,0
"ENSG00000175787",45,34,42,36,52,62,45,40
"ENSG00000175792",596,580,670,413,695,959,485,476
"ENSG00000175793",0,2,3,1,0,0,0,0
"ENSG00000175800",0,0,0,0,1,0,0,1
"ENSG00000175806",151,120,270,148,307,366,183,187
"ENSG00000175820",0,0,5,0,1,0,1,0
"ENSG00000175826",721,685,842,535,861,1009,695,667
"ENSG00000175832",34,26,40,19,44,106,48,39
"ENSG00000175841",0,0,0,0,0,1,1,0
"ENSG00000175854",343,276,372,186,383,377,274,261
"ENSG00000175866",277,265,302,175,203,177,366,381
"ENSG00000175868",1,1,2,0,0,1,0,0
"ENSG00000175873",42,44,58,32,36,66,36,48
"ENSG00000175874",3,0,1,0,4,3,5,3
"ENSG00000175879",13,12,1,1,1,0,8,4
"ENSG00000175886",682,641,683,319,697,805,497,453
"ENSG00000175893",304,334,486,348,382,598,378,408
"ENSG00000175894",0,3,4,5,12,2,2,1
"ENSG00000175895",158,163,177,148,165,227,148,191
"ENSG00000175898",937,986,981,655,1116,1039,831,874
"ENSG00000175899",20085,15449,32043,26789,2367,9980,32109,33532
"ENSG00000175906",161,142,323,164,203,282,168,153
"ENSG00000175911",35,28,27,27,22,33,29,25
"ENSG00000175920",1,1,3,1,1,1,0,0
"ENSG00000175928",7,1,30,3,31,9,15,4
"ENSG00000175931",497,504,480,313,612,845,430,523
"ENSG00000175938",312,283,358,238,239,391,296,428
"ENSG00000175946",30,43,39,48,36,103,27,51
"ENSG00000175967",5,0,7,1,1,1,6,1
"ENSG00000175970",1222,1393,1678,1273,1396,2029,1475,1914
"ENSG00000175984",96,66,105,75,76,89,95,77
"ENSG00000175985",3,1,4,2,1,2,0,0
"ENSG00000176009",1,0,2,1,1,2,2,0
"ENSG00000176014",3077,3181,3273,1446,3013,7059,1945,2057
"ENSG00000176018",569,442,562,341,612,835,457,482
"ENSG00000176022",430,387,452,244,517,779,339,314
"ENSG00000176024",49,53,109,26,108,97,79,64
"ENSG00000176029",2,3,5,2,3,4,3,2
"ENSG00000176040",0,0,1,0,0,0,0,0
"ENSG00000176043",0,0,0,0,0,0,1,0
"ENSG00000176046",2322,1890,4111,1848,3793,3488,2631,2218
"ENSG00000176049",0,2,2,1,0,0,0,0
"ENSG00000176054",8,7,14,6,13,13,9,7
"ENSG00000176055",109,100,138,58,140,140,102,76
"ENSG00000176058",164,189,157,103,139,209,140,167
"ENSG00000176075",0,0,0,0,0,0,1,0
"ENSG00000176076",5,2,2,0,10,4,6,1
"ENSG00000176087",1083,982,1064,693,1087,1341,819,901
"ENSG00000176092",0,0,1,0,0,0,0,0
"ENSG00000176095",1403,1255,1478,1092,1460,2069,1148,1470
"ENSG00000176101",476,532,484,270,473,738,372,473
"ENSG00000176102",436,263,428,230,492,488,315,253
"ENSG00000176105",1181,871,1431,767,1598,1549,1190,1062
"ENSG00000176108",180,127,251,102,235,310,220,144
"ENSG00000176115",0,0,1,0,0,0,1,0
